"id","name","phone number","street address","locality"
2,"Leiter Property Management","+1 718-387-3700","Brooklyn, NY, United States",
3,"Guardian Property Management of Brooklyn, LLC","+1 718-499-4838","Brooklyn, NY, United States",
4,"Awaye Realty Management, LLC","+1 718-222-9840","Brooklyn, NY, United States",
5,"Supreme Property Management","+1 718-233-9072","Brooklyn, NY, United States",
6,"True Management","+1 718-564-8239","Brooklyn, NY, United States",
7,"Brownstone Management","+1 718-499-6030","Brooklyn, NY, United States",
8,"LandLord Management","+1 718-536-2642","Brooklyn, NY, United States",
9,"Goose Property Management LLC","+1 718-246-3734","Brooklyn, NY, United States",
10,"Waterfront Property Management","+1 718-302-3180","Brooklyn, NY, United States",
11,"Dependable Property Management","+1 718-968-2876","Brooklyn, NY, United States",
12,"Goldin Management","+1 718-230-2600","Brooklyn, NY, United States",
13,"Olympic Property Management","+1 718-855-9060","Brooklyn, NY, United States",
14,"Apartment Management Associates LLC","+1 718-743-8030","Brooklyn, NY, United States",
15,"Goldin Property Management","+1 718-230-2600","Brooklyn, NY, United States",
16,"Waterfront Property Management","+1 718-302-3180","Brooklyn, NY, United States",
17,"Artex Property Management","+1 718-599-3242","Brooklyn, NY, United States",
18,"ProRealty Property Management","+1 888-230-1578","Brooklyn, NY, United States",
19,"Brooklyn Property Managers","+1 718-972-0700","Brooklyn, NY, United States",
20,"Jalen Management","+1 718-439-0303","Brooklyn, NY, United States",
21,"Maximus Property Management Services","+1 718-369-2040","Brooklyn, NY, United States",
422,"Leiter Property Management","+1 718-387-3700","Brooklyn, NY, United States",
423,"Guardian Property Management of Brooklyn, LLC","+1 718-499-4838","Brooklyn, NY, United States",
424,"Awaye Realty Management, LLC","+1 718-222-9840","Brooklyn, NY, United States",
425,"Supreme Property Management","+1 718-233-9072","Brooklyn, NY, United States",
426,"True Management","+1 718-564-8239","Brooklyn, NY, United States",
427,"Brownstone Management","+1 718-499-6030","Brooklyn, NY, United States",
428,"LandLord Management","+1 718-536-2642","Brooklyn, NY, United States",
429,"Goose Property Management LLC","+1 718-246-3734","Brooklyn, NY, United States",
430,"Waterfront Property Management","+1 718-302-3180","Brooklyn, NY, United States",
431,"Dependable Property Management","+1 718-968-2876","Brooklyn, NY, United States",
432,"Goldin Management","+1 718-230-2600","Brooklyn, NY, United States",
433,"Olympic Property Management","+1 718-855-9060","Brooklyn, NY, United States",
434,"Apartment Management Associates LLC","+1 718-743-8030","Brooklyn, NY, United States",
435,"Goldin Property Management","+1 718-230-2600","Brooklyn, NY, United States",
436,"Waterfront Property Management","+1 718-302-3180","Brooklyn, NY, United States",
437,"Artex Property Management","+1 718-599-3242","Brooklyn, NY, United States",
438,"ProRealty Property Management","+1 888-230-1578","Brooklyn, NY, United States",
439,"Brooklyn Property Managers","+1 718-972-0700","Brooklyn, NY, United States",
440,"Jalen Management","+1 718-439-0303","Brooklyn, NY, United States",
441,"Maximus Property Management Services","+1 718-369-2040","Brooklyn, NY, United States",
841,"Gumley HaftWhy this ad?","(212) 371-2525","New York, NY",
842,"Leiter Property Management","+1 718-387-3700","Brooklyn, NY, United States",
843,"Guardian Property Management of Brooklyn, LLC","+1 718-499-4838","Brooklyn, NY, United States",
844,"Awaye Realty Management, LLC","+1 718-222-9840","Brooklyn, NY, United States",
845,"Supreme Property Management","+1 718-233-9072","Brooklyn, NY, United States",
846,"True Management","+1 718-564-8239","Brooklyn, NY, United States",
847,"Brownstone Management","+1 718-499-6030","Brooklyn, NY, United States",
848,"LandLord Management","+1 718-536-2642","Brooklyn, NY, United States",
849,"Goose Property Management LLC","+1 718-246-3734","Brooklyn, NY, United States",
850,"Waterfront Property Management","+1 718-302-3180","Brooklyn, NY, United States",
851,"Dependable Property Management","+1 718-968-2876","Brooklyn, NY, United States",
852,"Goldin Management","+1 718-230-2600","Brooklyn, NY, United States",
853,"Olympic Property Management","+1 718-855-9060","Brooklyn, NY, United States",
854,"Apartment Management Associates LLC","+1 718-743-8030","Brooklyn, NY, United States",
855,"Goldin Property Management","+1 718-230-2600","Brooklyn, NY, United States",
856,"Waterfront Property Management","+1 718-302-3180","Brooklyn, NY, United States",
857,"Artex Property Management","+1 718-599-3242","Brooklyn, NY, United States",
858,"ProRealty Property Management","+1 888-230-1578","Brooklyn, NY, United States",
859,"Brooklyn Property Managers","+1 718-972-0700","Brooklyn, NY, United States",
860,"Jalen Management","+1 718-439-0303","Brooklyn, NY, United States",
861,"Maximus Property Management Services","+1 718-369-2040","Brooklyn, NY, United States",
1261,"Gumley HaftWhy this ad?","(212) 371-2525","New York, NY",
1262,"Leiter Property Management","+1 718-387-3700","Brooklyn, NY, United States",
1263,"Guardian Property Management of Brooklyn, LLC","+1 718-499-4838","Brooklyn, NY, United States",
1264,"Awaye Realty Management, LLC","+1 718-222-9840","Brooklyn, NY, United States",
1265,"Supreme Property Management","+1 718-233-9072","Brooklyn, NY, United States",
